Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Law;27;Male;Master's;6;Medium
Biology;42;Female;High School;2;None
Psychology;46;Male;PhD;31;Medium
Arts;50;Female;PhD;21;Medium
Education;50;Male;High School;22;High
Biology;30;Female;PhD;18;Low
Education;59;Female;Master's;2;Medium
Arts;47;Male;High School;25;High
Economics;31;Male;Bachelor's;14;High
Education;29;Female;Bachelor's;23;None
Education;39;Male;Master's;25;Medium
Arts;36;Male;PhD;13;High
Education;45;Male;Master's;32;High
Economics;39;Male;High School;28;Medium
Biology;36;Female;Master's;15;Medium
Computer Science;36;Female;Master's;8;High
Law;53;Female;Bachelor's;32;Low
Psychology;38;Female;Master's;17;High
Computer Science;28;Male;High School;39;High
Medicine;45;Female;Bachelor's;9;Medium
Law;39;Female;PhD;9;None
Computer Science;58;Male;Master's;36;None
Education;39;Female;PhD;11;Medium
Medicine;38;Male;PhD;32;High
Computer Science;23;Male;PhD;10;None
Education;30;Female;Master's;39;Low
Computer Science;53;Male;PhD;22;High
Business;56;Male;Bachelor's;26;Low
Education;30;Male;Bachelor's;5;Low
Arts;20;Male;PhD;20;None
Computer Science;32;Female;High School;33;Low
Business;20;Female;High School;12;Low
Education;22;Female;High School;25;High
Mechanical Engineering;29;Female;PhD;13;Low
Economics;46;Male;PhD;1;Low
Business;34;Female;High School;23;None
Business;54;Male;High School;10;High
Arts;39;Female;Master's;4;High
Computer Science;50;Female;Bachelor's;27;None
Law;26;Female;Bachelor's;18;Medium
Mechanical Engineering;36;Female;Master's;14;Low
Biology;34;Male;Master's;17;Low
Law;20;Male;High School;6;Low
Education;36;Female;PhD;16;High
Arts;43;Female;High School;39;None
Arts;25;Female;Bachelor's;36;None
Arts;40;Female;Bachelor's;0;Medium
Economics;39;Female;Master's;32;None
Economics;59;Male;Bachelor's;37;None
Economics;40;Male;Master's;11;None
Psychology;37;Female;Bachelor's;12;Low
Computer Science;56;Male;PhD;37;Low
Arts;50;Female;PhD;22;Medium
Psychology;31;Female;Bachelor's;17;None
Mechanical Engineering;35;Male;Bachelor's;39;None
Mechanical Engineering;42;Male;PhD;5;None
Education;31;Male;Bachelor's;7;Medium
Business;44;Male;PhD;23;Low
Arts;40;Male;Bachelor's;17;High
Psychology;45;Female;PhD;26;Low
Business;58;Male;High School;18;None
Mechanical Engineering;45;Female;Bachelor's;38;None
Law;49;Male;High School;16;None
Business;44;Female;PhD;36;High
Biology;52;Female;High School;31;Medium
Education;54;Female;PhD;6;None
Computer Science;47;Male;Master's;17;High
Business;45;Male;PhD;30;None
Law;32;Male;PhD;38;Low
Business;45;Female;Bachelor's;7;None
Medicine;29;Female;Bachelor's;1;None
Biology;38;Female;Bachelor's;4;Medium
Law;46;Female;Bachelor's;38;Medium
Education;45;Male;High School;2;Medium
Education;49;Female;Master's;39;High
Psychology;31;Male;PhD;23;High
Arts;42;Male;Master's;38;None
Business;20;Male;High School;27;Medium
Education;34;Female;Bachelor's;14;None
Economics;22;Female;Bachelor's;34;Low
Computer Science;30;Male;PhD;21;High
Economics;20;Male;Bachelor's;28;Low
Mechanical Engineering;55;Female;Master's;31;None
Arts;38;Female;High School;14;None
Biology;23;Female;High School;10;High
Arts;21;Male;High School;39;Low
Law;46;Male;Bachelor's;28;Low
Computer Science;55;Female;PhD;37;None
Education;26;Female;High School;27;High
Economics;40;Female;Bachelor's;26;Low
Biology;25;Male;PhD;15;Low
Education;57;Male;Bachelor's;35;High
Medicine;51;Female;Master's;11;High
Mechanical Engineering;53;Female;Bachelor's;23;High
Mechanical Engineering;45;Male;High School;16;None
Economics;42;Male;High School;36;None
Medicine;24;Female;Bachelor's;28;Medium
Education;22;Female;Master's;2;Low
Mechanical Engineering;45;Female;Master's;23;High
Business;51;Female;High School;13;Medium
Economics;55;Male;PhD;26;None
Medicine;27;Male;Bachelor's;38;High
Economics;55;Female;High School;36;None
Psychology;57;Male;PhD;24;None
Education;28;Female;High School;37;None
Psychology;36;Male;High School;16;Low
Economics;52;Male;PhD;18;High
Economics;57;Female;Master's;27;None
Business;38;Female;Master's;14;Low
Law;51;Female;Bachelor's;14;None
Psychology;53;Female;Master's;20;High
Education;56;Female;Master's;24;Medium
Arts;58;Male;High School;34;None
Law;31;Female;Bachelor's;19;None
Arts;38;Male;Master's;31;Low
Biology;50;Female;Master's;33;None
Business;50;Male;High School;37;High
Psychology;28;Male;PhD;34;None
Education;33;Male;High School;20;Low
Psychology;35;Female;PhD;17;High
Psychology;38;Female;PhD;32;High
Business;33;Male;Master's;15;Low
Arts;26;Female;Bachelor's;8;Medium
Medicine;28;Female;PhD;0;None
Law;24;Male;High School;7;Low
Economics;21;Female;Master's;8;Medium
Biology;59;Female;PhD;23;High
Biology;42;Male;High School;5;None
Law;27;Female;Master's;0;Medium
Law;40;Male;Bachelor's;2;Medium
Law;43;Female;Master's;36;High
Biology;22;Male;Master's;21;High
Computer Science;33;Male;Master's;35;None
Mechanical Engineering;40;Female;High School;4;High
Business;32;Male;Bachelor's;13;Medium
Medicine;43;Female;Master's;5;None
Biology;34;Male;Bachelor's;15;High
Arts;36;Male;Master's;25;Low
Education;56;Female;PhD;22;Low
Mechanical Engineering;35;Male;Bachelor's;6;High
Law;52;Female;Master's;30;High
Medicine;57;Male;High School;17;Medium
Business;53;Male;High School;27;Medium
Education;45;Male;High School;36;None
Law;59;Male;Master's;12;None
Business;26;Male;PhD;17;None
Arts;55;Female;Bachelor's;13;Low
Law;21;Female;High School;12;High
Biology;33;Female;High School;8;Medium
Mechanical Engineering;51;Male;High School;12;Medium
Biology;57;Male;Master's;23;High
Business;45;Female;Master's;18;High
Biology;50;Female;PhD;36;High
Computer Science;24;Female;Master's;14;Low
Mechanical Engineering;42;Male;High School;38;Low
Mechanical Engineering;44;Female;High School;9;Low
Biology;27;Female;High School;25;None
Education;35;Female;High School;33;Low
Psychology;33;Male;PhD;13;High
Computer Science;20;Male;Master's;32;Medium
Law;40;Female;Master's;21;Low
Education;57;Male;High School;32;Medium
Economics;36;Female;High School;22;Low
Psychology;40;Female;High School;25;Medium
Education;45;Male;Master's;36;Medium
Mechanical Engineering;51;Male;Master's;9;None
Computer Science;43;Female;High School;28;Medium
Arts;24;Male;Master's;30;None
Medicine;21;Male;Master's;36;Medium
Education;59;Female;Bachelor's;12;High
Education;44;Male;High School;0;Medium
Arts;54;Male;High School;20;Low
Law;22;Male;Master's;37;Low
Education;57;Male;Bachelor's;23;Medium
Biology;38;Female;High School;23;Low
Biology;29;Male;Bachelor's;13;Medium
Arts;21;Female;Bachelor's;0;None
Law;55;Male;PhD;29;Low
Mechanical Engineering;23;Male;PhD;15;High
Law;25;Male;High School;36;None
Business;41;Female;Bachelor's;12;Medium
Biology;25;Male;High School;3;Medium
Education;21;Male;Bachelor's;35;High
Medicine;51;Male;Master's;0;None
Computer Science;40;Female;High School;32;Medium
Biology;28;Female;Master's;6;Low
Education;32;Female;High School;17;Medium
Computer Science;35;Male;Bachelor's;14;Low
Computer Science;33;Male;Bachelor's;7;Low
Psychology;41;Male;High School;29;None
Psychology;44;Male;High School;20;High
Psychology;29;Female;Master's;22;None
Computer Science;46;Female;High School;38;High
Education;41;Male;Master's;0;Medium
Arts;42;Male;PhD;26;High
Economics;25;Male;Master's;4;None
Mechanical Engineering;39;Female;High School;38;Low
Arts;36;Male;Master's;35;High
Economics;52;Female;Master's;7;High
Economics;23;Male;Master's;34;Medium
Medicine;21;Male;Master's;32;Medium
Medicine;23;Male;Master's;1;High
Law;21;Male;High School;35;Medium
Arts;56;Male;Bachelor's;14;None
Computer Science;50;Female;Master's;38;None
Economics;23;Female;Master's;18;None
Biology;25;Female;PhD;23;None
Law;39;Female;Master's;33;None
Computer Science;38;Male;Master's;27;Medium
Mechanical Engineering;46;Female;Bachelor's;38;None
Education;42;Male;Bachelor's;38;Medium
Arts;29;Male;PhD;21;None
Law;48;Female;Master's;20;None
Arts;51;Male;PhD;12;Low
Business;38;Male;Bachelor's;31;None
Business;47;Male;Bachelor's;9;Medium
Arts;50;Female;PhD;37;High
Medicine;44;Female;PhD;34;High
Biology;24;Male;Master's;28;Low
Economics;36;Male;Master's;6;None
Mechanical Engineering;46;Female;PhD;36;High
Economics;34;Male;Bachelor's;8;Low
Education;55;Female;Bachelor's;18;Medium
Medicine;49;Male;Bachelor's;5;High
Economics;51;Male;PhD;16;Low
Education;46;Male;High School;33;Medium
Business;47;Female;PhD;32;Medium
Arts;45;Male;High School;30;Low
Computer Science;40;Female;High School;33;None
Psychology;30;Female;Master's;7;Low
Business;40;Male;PhD;5;High
Medicine;28;Female;High School;8;Medium
Education;54;Male;PhD;6;Low
Education;39;Female;High School;16;Medium
Psychology;59;Female;High School;0;High
Mechanical Engineering;42;Female;Bachelor's;21;Medium
Education;50;Female;Master's;27;Medium
Arts;32;Female;PhD;3;High
Computer Science;21;Male;Master's;1;Medium
Arts;35;Male;PhD;30;High
Mechanical Engineering;48;Male;High School;30;Low
Psychology;54;Male;PhD;18;None
Medicine;42;Female;High School;7;High
Education;52;Female;Bachelor's;8;High
Psychology;22;Male;Bachelor's;19;High
Biology;42;Male;PhD;3;Medium
Psychology;49;Male;High School;27;None
Psychology;42;Female;Master's;11;Low
Psychology;30;Female;Bachelor's;2;High
Medicine;45;Female;Master's;31;None
Economics;23;Male;Bachelor's;28;None
Arts;57;Female;Master's;17;Low
Medicine;53;Male;High School;28;None
Biology;29;Female;Master's;19;Low
Medicine;53;Female;PhD;20;Medium
Law;49;Male;PhD;15;None
Biology;22;Female;PhD;1;None
Mechanical Engineering;33;Male;Master's;10;Low
Economics;42;Male;High School;17;Medium
Education;54;Male;PhD;32;Low
Arts;58;Female;Bachelor's;4;High
Medicine;32;Female;High School;24;None
Psychology;24;Female;Master's;31;None
Medicine;25;Female;Master's;23;Medium
Education;34;Female;Bachelor's;25;Medium
Business;26;Male;High School;8;High
Economics;46;Female;PhD;8;Medium
Biology;42;Female;Bachelor's;17;None
Arts;47;Female;High School;34;Low
Computer Science;35;Female;Master's;28;Low
Arts;48;Female;Master's;15;Medium
Law;27;Male;High School;23;Medium
Medicine;52;Female;Bachelor's;3;None
Medicine;53;Female;PhD;0;High
Economics;38;Male;Bachelor's;13;Medium
Law;21;Male;High School;7;Medium
Computer Science;57;Female;Bachelor's;18;High
Arts;44;Male;Master's;22;Medium
Business;20;Female;Master's;0;High
Education;46;Male;Bachelor's;15;None
Biology;39;Female;Bachelor's;25;None
Economics;32;Male;Bachelor's;38;Low
Economics;28;Female;PhD;22;Medium
Medicine;53;Male;Master's;2;High
Computer Science;59;Female;High School;23;Medium
Psychology;25;Female;Master's;31;Medium
Medicine;37;Male;Bachelor's;20;Low
Law;36;Male;PhD;25;None
Mechanical Engineering;21;Female;Bachelor's;5;Medium
Arts;54;Male;PhD;7;None
Business;38;Female;Master's;2;High
Mechanical Engineering;34;Female;Master's;2;Low
Economics;58;Female;PhD;21;Medium
Psychology;28;Male;Bachelor's;30;None
Medicine;39;Female;Bachelor's;29;High
Economics;37;Male;High School;12;Medium
Arts;28;Male;Bachelor's;39;None
Law;42;Female;PhD;31;None
Law;38;Male;Master's;11;Low
Arts;57;Female;Master's;39;Low
Medicine;54;Male;High School;21;None
Computer Science;54;Male;High School;22;Low
Computer Science;51;Female;High School;1;High
Computer Science;36;Female;PhD;21;None
Biology;41;Male;Master's;7;High
Biology;30;Male;Bachelor's;30;High
Education;36;Male;PhD;0;None
Law;55;Female;Bachelor's;3;None
Psychology;58;Male;Master's;14;Medium
Biology;33;Male;Master's;7;Medium
Medicine;31;Female;PhD;19;Low
Psychology;34;Male;PhD;4;Low
Economics;34;Female;Bachelor's;28;Low
Medicine;24;Female;Bachelor's;4;Medium
Education;55;Female;Master's;22;Medium
Economics;56;Male;Bachelor's;29;Low
Business;59;Female;High School;16;None
Law;55;Male;High School;30;High
Education;48;Female;Master's;31;None
Medicine;26;Male;Bachelor's;38;Low
Education;23;Male;Bachelor's;13;High
Mechanical Engineering;40;Male;Master's;2;Medium
Business;48;Female;Bachelor's;35;None
Arts;54;Female;High School;21;None
Computer Science;56;Female;PhD;30;Medium
Law;21;Male;Master's;11;High
Arts;54;Female;Bachelor's;28;Low
Psychology;38;Male;High School;32;Medium
Economics;25;Female;Master's;30;High
Law;51;Male;PhD;7;Medium
Business;37;Female;High School;39;Medium
Education;49;Female;Master's;0;Medium
Medicine;46;Female;PhD;21;Low
Psychology;33;Female;PhD;34;Low
Arts;25;Male;Master's;17;Low
Business;50;Male;Master's;34;Low
Biology;38;Female;High School;10;None
Mechanical Engineering;51;Female;Master's;16;High
Medicine;44;Female;Bachelor's;18;Low
Economics;44;Male;Bachelor's;26;None
Business;54;Male;High School;22;Low
Law;30;Male;Master's;19;High
Mechanical Engineering;42;Female;High School;0;High
Computer Science;33;Male;PhD;15;High
Education;57;Female;PhD;30;Low
Psychology;54;Female;Master's;20;High
Economics;54;Male;PhD;8;Medium
Mechanical Engineering;28;Female;Master's;24;High
Economics;40;Male;High School;7;High
Law;52;Female;PhD;11;Low
Business;26;Female;Master's;29;Medium
Psychology;52;Male;Bachelor's;22;Medium
Psychology;38;Male;Bachelor's;6;Low
Mechanical Engineering;45;Male;Master's;27;None
Psychology;47;Male;PhD;22;Medium
Computer Science;37;Male;PhD;15;Medium
Psychology;38;Female;Bachelor's;24;Medium
Law;58;Male;Bachelor's;1;None
Mechanical Engineering;34;Female;PhD;25;High
Business;53;Female;PhD;27;Medium
Law;26;Male;High School;10;Medium
Medicine;55;Female;Master's;3;High
Biology;44;Male;PhD;26;Medium
Arts;36;Male;PhD;2;High
Business;50;Female;PhD;2;High
Biology;44;Female;High School;28;None
Computer Science;31;Female;Master's;35;Low
Arts;37;Male;High School;26;High
Economics;43;Female;High School;18;Low
Economics;22;Female;Bachelor's;25;Medium
Computer Science;29;Female;Bachelor's;16;Medium
Computer Science;31;Female;High School;12;Medium
Biology;49;Female;PhD;31;Medium
Economics;58;Female;Bachelor's;11;High
Law;52;Female;Bachelor's;24;High
Computer Science;34;Female;Master's;30;None
Mechanical Engineering;47;Male;PhD;26;None
Business;56;Female;High School;37;Low
Arts;40;Male;Master's;6;None
Psychology;43;Female;PhD;30;High
Law;59;Male;High School;21;Medium
Mechanical Engineering;26;Female;Master's;28;High
Business;56;Female;Bachelor's;26;High
Psychology;59;Female;Bachelor's;39;Low
Economics;39;Male;High School;30;High
Computer Science;40;Male;High School;11;Medium
Business;35;Female;Master's;6;High
Law;47;Male;Master's;22;Medium
Psychology;28;Male;Bachelor's;24;Medium
Economics;54;Male;Bachelor's;36;High
Medicine;27;Male;Bachelor's;0;None
Psychology;33;Male;Bachelor's;9;Medium
Business;40;Male;PhD;0;Low
Mechanical Engineering;39;Male;Bachelor's;35;Medium
Education;45;Male;PhD;4;High
Education;24;Female;Master's;32;None
Biology;59;Female;Master's;1;High
Education;54;Male;Bachelor's;21;None
Biology;55;Male;PhD;22;Low
Education;25;Male;PhD;3;Low
Computer Science;45;Male;High School;16;Medium
Computer Science;22;Female;Master's;27;None
Education;36;Male;Master's;11;Low
Economics;26;Female;High School;11;Medium
Biology;53;Male;Bachelor's;17;Medium
Arts;43;Male;Bachelor's;33;High
Business;47;Male;High School;39;None
Psychology;56;Male;High School;36;None
Business;33;Male;Bachelor's;19;Low
Psychology;53;Female;Bachelor's;39;None
Economics;48;Male;Master's;0;None
Biology;41;Female;PhD;18;High
Economics;38;Female;PhD;33;Low
Computer Science;38;Male;Bachelor's;22;None
Computer Science;37;Female;Master's;5;High
Biology;56;Female;PhD;13;High
Arts;52;Female;High School;22;High
Mechanical Engineering;56;Female;PhD;35;High
Computer Science;30;Female;PhD;18;High
Education;31;Male;PhD;16;High
Education;50;Female;PhD;15;None
Biology;23;Male;High School;3;Medium
Law;33;Female;High School;20;Medium
Law;38;Male;Master's;9;None
Medicine;32;Female;Master's;30;Low
Economics;21;Male;Master's;0;Low
Business;35;Female;PhD;5;Medium
Mechanical Engineering;35;Male;High School;28;Medium
Arts;20;Male;PhD;6;Medium
Business;38;Female;High School;19;Medium
Economics;28;Female;PhD;22;Low
Law;31;Male;Bachelor's;15;High
Biology;54;Male;PhD;20;High
Psychology;30;Female;PhD;5;None
Business;20;Male;Bachelor's;37;Medium
Mechanical Engineering;20;Male;Master's;28;Low
Medicine;23;Male;High School;12;Medium
Arts;31;Female;PhD;3;Low
Business;33;Male;Bachelor's;3;None
Biology;59;Female;Bachelor's;14;High
Business;59;Female;Master's;27;Low
Psychology;53;Male;Master's;17;Medium
Computer Science;43;Male;PhD;17;High
Computer Science;33;Female;High School;29;High
Arts;57;Female;Bachelor's;20;None
Biology;55;Female;High School;35;High
Psychology;23;Male;Bachelor's;0;Medium
Arts;37;Male;Master's;21;None
Medicine;30;Female;PhD;13;Low
Business;38;Male;PhD;25;None
Mechanical Engineering;30;Male;High School;36;High
Economics;34;Male;Master's;10;Low
Biology;40;Female;Master's;38;None
Medicine;58;Female;Bachelor's;9;High
Mechanical Engineering;27;Male;Bachelor's;14;Low
Biology;44;Female;Master's;3;High
Biology;57;Female;Master's;14;None
Mechanical Engineering;52;Male;PhD;27;None
Biology;25;Male;Master's;22;Low
